file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
u_opt_factor\set02\u_opt_factor_0.6.py,u_opt_factor,2,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.519998,40,11,46.000001,73.599998,21.400001,1,1,1002,0,ilp_v1,optimal,1,76.668811,51.513311,1.48833,1.3323,0.0,
u_opt_factor\set02\u_opt_factor_0.6.py,u_opt_factor,2,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.519998,40,11,46.000001,73.599998,21.400001,1,1,1002,0,ilp_v2,optimal,1,62.081788,51.442678,1.206815,0.1299,0.0,
u_opt_factor\set02\u_opt_factor_0.6.py,u_opt_factor,2,u_opt_factor,0.6,2,5,5,0.5,0.6,0.7,0.6,1.0,0.6,51.519998,40,11,46.000001,73.599998,21.400001,1,1,1002,0,heuristic_v5b,solved,1,66.81535,50.284853,1.328737,0.0036,,
u_opt_factor\set02\u_opt_factor_0.8.py,u_opt_factor,2,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.96,40,11,46.000001,82.8,21.400001,1,1,1002,0,ilp_v1,optimal,1,92.537848,57.942829,1.597054,0.4911,0.0,
u_opt_factor\set02\u_opt_factor_0.8.py,u_opt_factor,2,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.96,40,11,46.000001,82.8,21.400001,1,1,1002,0,ilp_v2,optimal,1,69.189709,57.341385,1.206628,0.1749,0.0,
u_opt_factor\set02\u_opt_factor_0.8.py,u_opt_factor,2,u_opt_factor,0.8,2,5,5,0.5,0.8,0.7,0.6,1.0,0.8,57.96,40,11,46.000001,82.8,21.400001,1,1,1002,0,heuristic_v5b,solved,1,71.703565,55.523646,1.291406,0.0042,,
u_opt_factor\set03\u_opt_factor_0.2.py,u_opt_factor,3,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.639999,40,10,46.0,55.199999,21.433333,1,1,1003,0,ilp_v1,optimal,1,23.916951,37.770116,0.633224,0.0432,0.0,
u_opt_factor\set03\u_opt_factor_0.2.py,u_opt_factor,3,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.639999,40,10,46.0,55.199999,21.433333,1,1,1003,0,ilp_v2,optimal,1,23.916951,34.752541,0.688207,0.0148,0.0,
u_opt_factor\set03\u_opt_factor_0.2.py,u_opt_factor,3,u_opt_factor,0.2,2,5,5,0.5,0.2,0.7,0.6,1.0,0.2,38.639999,40,10,46.0,55.199999,21.433333,1,1,1003,0,heuristic_v5b,solved,1,23.916951,38.40895,0.622692,0.0021,,
u_opt_factor\set03\u_opt_factor_0.4.py,u_opt_factor,3,u_opt_factor,0.4,2,5,5,0.5,0.4,0.7,0.6,1.0,0.4,45.08,40,10,46.0,64.4,21.433333,1,1,1003,0,ilp_v1,optimal,1,47.833912,42.877795,1.115587,0.0439,0.0,
