file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws,model,status,model_feasible,utility,energy,util_per_energy,runtime,gap,error
rho\set02\rho_0.4.py,rho,2,rho,0.4,2,5,5,0.5,0.5,0.4,0.6,1.0,0.5,27.599999,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,solved,1,14.810027,27.514112,0.53827,0.0058,,
rho\set02\rho_0.5.py,rho,2,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.499998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,optimal,1,45.229778,34.496751,1.311132,0.9145,0.0,
rho\set02\rho_0.5.py,rho,2,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.499998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,optimal,1,31.866303,34.499821,0.923666,0.0754,3.4e-05,
rho\set02\rho_0.5.py,rho,2,rho,0.5,2,5,5,0.5,0.5,0.5,0.6,1.0,0.5,34.499998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,solved,1,36.257372,34.389874,1.054304,0.0045,,
rho\set02\rho_0.6.py,rho,2,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.399998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,optimal,1,60.494771,41.002115,1.475406,0.642,0.0,
rho\set02\rho_0.6.py,rho,2,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.399998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,optimal,1,44.697079,41.395786,1.079749,0.0928,0.0,
rho\set02\rho_0.6.py,rho,2,rho,0.6,2,5,5,0.5,0.5,0.6,0.6,1.0,0.5,41.399998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,solved,1,46.542976,39.521441,1.177664,0.005,,
rho\set02\rho_0.7.py,rho,2,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,optimal,1,70.137651,47.772583,1.468157,0.5071,0.0,
rho\set02\rho_0.7.py,rho,2,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,optimal,1,56.151578,48.231141,1.164218,0.1623,0.0,
rho\set02\rho_0.7.py,rho,2,rho,0.7,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299998,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,solved,1,57.914772,46.403908,1.248058,0.0034,,
rho\set02\rho_0.8.py,rho,2,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.199997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,optimal,1,75.40284,53.644296,1.405608,0.0381,0.0,
rho\set02\rho_0.8.py,rho,2,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.199997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,optimal,1,66.402522,55.18732,1.203221,0.1621,0.0,
rho\set02\rho_0.8.py,rho,2,rho,0.8,2,5,5,0.5,0.5,0.8,0.6,1.0,0.5,55.199997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,solved,1,70.137651,54.336924,1.290792,0.0021,,
rho\set02\rho_0.9.py,rho,2,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.099997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,optimal,1,75.40284,61.92253,1.217696,0.0369,0.0,
rho\set02\rho_0.9.py,rho,2,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.099997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,optimal,1,75.40284,60.696578,1.242291,0.0128,0.0,
rho\set02\rho_0.9.py,rho,2,rho,0.9,2,5,5,0.5,0.5,0.9,0.6,1.0,0.5,62.099997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,heuristic_v5b,solved,1,75.40284,61.485077,1.22636,0.0025,,
rho\set02\rho_1.py,rho,2,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,68.999997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v1,optimal,1,75.40284,61.413848,1.227782,0.0359,0.0,
rho\set02\rho_1.py,rho,2,rho,1,2,5,5,0.5,0.5,1.0,0.6,1.0,0.5,68.999997,40,11,46.000001,68.999997,21.400001,1,1,1002,0,ilp_v2,optimal,1,75.40284,68.999997,1.092795,0.0081,0.0,
